Simulation Time Point,Cells,Contacts,Hours,Log(Cells)
1970,295533,1531569,40.043648,5.470605982
1980,297208,1540370,40.69884,5.473060495
1990,298876,1549020,41.261918,5.475491042
2000,300540,1557688,41.796708,5.477902282
2010,302216,1566361,42.310315,5.480317453
2020,303824,1575028,42.884969,5.482622077
2030,305488,1583828,43.461353,5.484994155
2040,307156,1592805,43.947286,5.487359003
2050,308810,1601375,44.4868,5.489691355
2060,310474,1610300,44.970447,5.492025237
2070,312143,1618793,45.880347,5.4943536
2080,313807,1627548,46.703247,5.496662627
2090,315384,1636104,47.223063,5.498839657
2100,317062,1644934,47.885555,5.501144195
2110,318763,1653894,48.471578,5.503467906
2120,320397,1662485,49.116528,5.505688441
2130,322102,1671274,49.781702,5.507993422
2140,323818,1679947,50.532385,5.510300986
2150,325431,1688385,51.193404,5.512458921
2160,327129,1697317,51.815336,5.514719046
2170,328807,1706060,52.832349,5.516941055
2180,330469,1714992,53.808101,5.519130726
2190,332087,1724025,54.645874,5.521251875
2200,333823,1732770,55.324174,5.523516256
2210,335493,1741518,56.176546,5.525683463
2220,337166,1750275,56.897868,5.527843774
2230,338803,1758783,57.750183,5.529947247
