iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,900,118821,cells,598556,cts,9,iterations,residual,=,2.584083,,,
,900,118821,cells,600467,cts,7,iterations,residual,=,2.524305,,,
,900,118821,cells,601377,cts,7,iterations,residual,=,2.307475,,,
,900,118821,cells,601921,cts,6,iterations,residual,=,2.742615,,,
,900,118821,cells,602303,cts,6,iterations,residual,=,2.688901,,,
,900,118821,cells,602528,cts,6,iterations,residual,=,2.62638,,,
,,,,,,,,,,,,,
,940,125509,cells,637597,contacts,4.233476,hour(s),or,254.008577,minute(s),or,15240.514648,second(s)
,940,125684,cells,621332,cts,16,iterations,residual,=,2.33895,,,
,940,125684,cells,634412,cts,9,iterations,residual,=,2.63091,,,
,940,125684,cells,636324,cts,7,iterations,residual,=,2.787335,,,
,940,125684,cells,637238,cts,7,iterations,residual,=,2.386593,,,
,940,125684,cells,637778,cts,6,iterations,residual,=,3.131259,,,
,940,125684,cells,638154,cts,6,iterations,residual,=,2.490959,,,
,940,125684,cells,638371,cts,6,iterations,residual,=,2.686243,,,
,950,127200,cells,646481,contacts,4.348813,hour(s),or,260.928792,minute(s),or,15655.727539,second(s)
,950,127363,cells,630003,cts,16,iterations,residual,=,2.407367,,,
,950,127363,cells,643143,cts,9,iterations,residual,=,2.823405,,,
,950,127363,cells,645085,cts,7,iterations,residual,=,2.880385,,,
,950,127363,cells,646011,cts,7,iterations,residual,=,2.38929,,,
,950,127363,cells,646560,cts,7,iterations,residual,=,2.342215,,,
,950,127363,cells,646911,cts,6,iterations,residual,=,2.647151,,,
,950,127363,cells,647184,cts,6,iterations,residual,=,2.633828,,,
,,,,,,,,,,,,,
,960,128940,cells,655695,contacts,4.5255,hour(s),or,271.530029,minute(s),or,16291.801758,second(s)
,960,129115,cells,638889,cts,16,iterations,residual,=,2.53251,,,
,960,129115,cells,652168,cts,9,iterations,residual,=,2.84357,,,
,960,129115,cells,654236,cts,7,iterations,residual,=,2.741625,,,
,960,129115,cells,655140,cts,7,iterations,residual,=,2.436111,,,
,960,129115,cells,655737,cts,6,iterations,residual,=,3.087994,,,
,960,129115,cells,656115,cts,6,iterations,residual,=,2.81184,,,
,960,129115,cells,656352,cts,6,iterations,residual,=,2.872101,,,
,,,,,,,,,,,,,
,970,130630,cells,664420,contacts,4.68078,hour(s),or,280.84681,minute(s),or,16850.808594,second(s)
,970,130788,cells,647322,cts,16,iterations,residual,=,2.545887,,,
,970,130788,cells,660856,cts,9,iterations,residual,=,2.766727,,,
,970,130788,cells,662955,cts,7,iterations,residual,=,2.820869,,,
,970,130788,cells,663911,cts,7,iterations,residual,=,2.530206,,,
,970,130788,cells,664466,cts,6,iterations,residual,=,3.219363,,,
,970,130788,cells,664859,cts,6,iterations,residual,=,2.886724,,,
,970,130788,cells,665107,cts,6,iterations,residual,=,2.869911,,,
,980,132252,cells,673166,contacts,4.853996,hour(s),or,291.239746,minute(s),or,17474.384766,second(s)
,980,132401,cells,655862,cts,16,iterations,residual,=,2.374405,,,
,980,132401,cells,669483,cts,9,iterations,residual,=,2.710215,,,
,980,132401,cells,671573,cts,7,iterations,residual,=,2.836841,,,
,980,132401,cells,672509,cts,6,iterations,residual,=,3.238708,,,
,980,132401,cells,673120,cts,6,iterations,residual,=,2.983511,,,
,980,132401,cells,673516,cts,6,iterations,residual,=,2.909032,,,
,980,132401,cells,673768,cts,6,iterations,residual,=,2.957026,,,
,990,133922,cells,681939,contacts,4.992447,hour(s),or,299.546842,minute(s),or,17972.810547,second(s)
,990,134091,cells,664490,cts,15,iterations,residual,=,3.108418,,,
,990,134091,cells,678208,cts,9,iterations,residual,=,2.845485,,,
,990,134091,cells,680341,cts,7,iterations,residual,=,2.757791,,,
,990,134091,cells,681330,cts,7,iterations,residual,=,2.538274,,,
,990,134091,cells,681920,cts,6,iterations,residual,=,3.163576,,,
,990,134091,cells,682303,cts,6,iterations,residual,=,2.810939,,,
,990,134091,cells,682536,cts,6,iterations,residual,=,2.803935,,,
,1000,135538,cells,690750,contacts,5.134889,hour(s),or,308.093327,minute(s),or,18485.599609,second(s)
,1000,135698,cells,673294,cts,15,iterations,residual,=,2.891192,,,
,1000,135698,cells,687089,cts,9,iterations,residual,=,2.827872,,,
,1000,135698,cells,689259,cts,7,iterations,residual,=,2.812124,,,
,1000,135698,cells,690233,cts,6,iterations,residual,=,3.340767,,,
,1000,135698,cells,690799,cts,6,iterations,residual,=,2.982629,,,
,1000,135698,cells,691194,cts,6,iterations,residual,=,2.95338,,,
,1000,135698,cells,691427,cts,6,iterations,residual,=,2.84151,,,
,,,,,,,,,,,,,
,1010,137152,cells,699419,contacts,5.33684,hour(s),or,320.210384,minute(s),or,19212.623047,second(s)
,1010,137316,cells,681722,cts,15,iterations,residual,=,2.955866,,,
,1010,137316,cells,695767,cts,9,iterations,residual,=,2.881168,,,
,1010,137316,cells,697928,cts,7,iterations,residual,=,2.867318,,,
,1010,137316,cells,698872,cts,7,iterations,residual,=,2.612394,,,
,1010,137316,cells,699470,cts,6,iterations,residual,=,3.118844,,,
,1010,137316,cells,699899,cts,6,iterations,residual,=,2.957751,,,
,1010,137316,cells,700119,cts,6,iterations,residual,=,2.956239,,,
,1020,138777,cells,707775,contacts,5.511421,hour(s),or,330.685286,minute(s),or,19841.117188,second(s)
,1020,138941,cells,689860,cts,15,iterations,residual,=,2.639802,,,
,1020,138941,cells,704041,cts,9,iterations,residual,=,3.104527,,,
,1020,138941,cells,706240,cts,7,iterations,residual,=,3.127472,,,
,1020,138941,cells,707245,cts,7,iterations,residual,=,2.661016,,,
,1020,138941,cells,707832,cts,6,iterations,residual,=,3.453841,,,
,1020,138941,cells,708270,cts,6,iterations,residual,=,3.006233,,,
,1020,138941,cells,708508,cts,6,iterations,residual,=,3.006855,,,
,1030,140422,cells,716234,contacts,5.674388,hour(s),or,340.463281,minute(s),or,20427.796875,second(s)
,1030,140572,cells,698185,cts,15,iterations,residual,=,2.800998,,,
,1030,140572,cells,712534,cts,9,iterations,residual,=,2.962595,,,
,1030,140572,cells,714723,cts,7,iterations,residual,=,2.966145,,,
,1030,140572,cells,715726,cts,6,iterations,residual,=,3.359971,,,
,1030,140572,cells,716342,cts,6,iterations,residual,=,3.110617,,,
,1030,140572,cells,716752,cts,6,iterations,residual,=,3.056482,,,
,1030,140572,cells,717009,cts,6,iterations,residual,=,2.976136,,,
,1040,142032,cells,724960,contacts,5.879207,hour(s),or,352.752441,minute(s),or,21165.146484,second(s)
,1040,142223,cells,706737,cts,15,iterations,residual,=,2.925241,,,
,1040,142223,cells,721211,cts,9,iterations,residual,=,2.996466,,,
,1040,142223,cells,723404,cts,7,iterations,residual,=,2.94686,,,
,1040,142223,cells,724415,cts,7,iterations,residual,=,2.64255,,,
,1040,142223,cells,725023,cts,6,iterations,residual,=,3.306779,,,
,1040,142223,cells,725435,cts,6,iterations,residual,=,3.099605,,,
,1040,142223,cells,725681,cts,6,iterations,residual,=,3.04226,,,
,1050,143671,cells,733475,contacts,6.067433,hour(s),or,364.045996,minute(s),or,21842.759766,second(s)
,1050,143847,cells,715190,cts,15,iterations,residual,=,3.398544,,,
,1050,143847,cells,729633,cts,9,iterations,residual,=,3.109044,,,
,1050,143847,cells,731837,cts,7,iterations,residual,=,3.086595,,,
,1050,143847,cells,732859,cts,6,iterations,residual,=,3.559972,,,
,1050,143847,cells,733470,cts,6,iterations,residual,=,3.175817,,,
,1050,143847,cells,733876,cts,6,iterations,residual,=,3.251985,,,
,1050,143847,cells,734121,cts,6,iterations,residual,=,3.048828,,,
,1060,145245,cells,742094,contacts,6.242233,hour(s),or,374.533984,minute(s),or,22472.039062,second(s)
,1060,145408,cells,723492,cts,15,iterations,residual,=,3.303007,,,
,1060,145408,cells,738369,cts,9,iterations,residual,=,3.181927,,,
,1060,145408,cells,740541,cts,7,iterations,residual,=,3.069401,,,
,1060,145408,cells,741570,cts,6,iterations,residual,=,3.448573,,,
,1060,145408,cells,742194,cts,6,iterations,residual,=,3.192885,,,
,1060,145408,cells,742614,cts,6,iterations,residual,=,3.285735,,,
,1060,145408,cells,742868,cts,6,iterations,residual,=,3.092943,,,
,1070,146929,cells,751025,contacts,6.437385,hour(s),or,386.243066,minute(s),or,23174.583984,second(s)
,1070,147086,cells,732296,cts,15,iterations,residual,=,3.432596,,,
,1070,147086,cells,747124,cts,9,iterations,residual,=,3.224857,,,
,1070,147086,cells,749372,cts,7,iterations,residual,=,3.090446,,,
,1070,147086,cells,750380,cts,6,iterations,residual,=,3.557942,,,
,1070,147086,cells,750983,cts,6,iterations,residual,=,3.32506,,,
,1070,147086,cells,751385,cts,6,iterations,residual,=,3.191615,,,
,1070,147086,cells,751649,cts,6,iterations,residual,=,3.267802,,,
,1080,148488,cells,759373,contacts,6.583161,hour(s),or,394.989648,minute(s),or,23699.378906,second(s)
,1080,148650,cells,740439,cts,15,iterations,residual,=,3.693308,,,
,1080,148650,cells,755514,cts,9,iterations,residual,=,3.300916,,,
,1080,148650,cells,757778,cts,7,iterations,residual,=,3.106226,,,
,1080,148650,cells,758810,cts,7,iterations,residual,=,2.827487,,,
,1080,148650,cells,759464,cts,6,iterations,residual,=,3.379021,,,
,1080,148650,cells,759871,cts,6,iterations,residual,=,3.214467,,,
,1080,148650,cells,760119,cts,6,iterations,residual,=,3.159528,,,
,1090,150132,cells,767852,contacts,6.807,hour(s),or,408.42002,minute(s),or,24505.201172,second(s)
,1090,150286,cells,748844,cts,15,iterations,residual,=,3.163066,,,
,1090,150286,cells,763963,cts,9,iterations,residual,=,3.096659,,,
,1090,150286,cells,766301,cts,7,iterations,residual,=,3.071827,,,
,1090,150286,cells,767331,cts,6,iterations,residual,=,3.659224,,,
,1090,150286,cells,767984,cts,6,iterations,residual,=,3.405329,,,
,1090,150286,cells,768365,cts,6,iterations,residual,=,3.553402,,,
,1090,150286,cells,768619,cts,6,iterations,residual,=,3.333172,,,
,,,,,,,,,,,,,
,1100,151748,cells,776568,contacts,6.954974,hour(s),or,417.29847,minute(s),or,25037.908203,second(s)
,1100,151898,cells,757161,cts,15,iterations,residual,=,2.971124,,,
,1100,151898,cells,772624,cts,9,iterations,residual,=,3.290475,,,
,1100,151898,cells,774944,cts,7,iterations,residual,=,3.178158,,,
,1100,151898,cells,775972,cts,6,iterations,residual,=,3.552581,,,
,1100,151898,cells,776634,cts,6,iterations,residual,=,3.401626,,,
,1100,151898,cells,777045,cts,6,iterations,residual,=,3.263324,,,
,1100,151898,cells,777294,cts,6,iterations,residual,=,3.30887,,,
,1110,153331,cells,784931,contacts,7.108149,hour(s),or,426.488932,minute(s),or,25589.335938,second(s)
,1110,153504,cells,765518,cts,15,iterations,residual,=,3.123427,,,
,1110,153504,cells,780914,cts,9,iterations,residual,=,3.333491,,,
,1110,153504,cells,783229,cts,7,iterations,residual,=,3.211583,,,
,1110,153504,cells,784281,cts,7,iterations,residual,=,2.891416,,,
,1110,153504,cells,784895,cts,6,iterations,residual,=,3.49011,,,
,1110,153504,cells,785286,cts,6,iterations,residual,=,3.156682,,,
,1110,153504,cells,785537,cts,6,iterations,residual,=,3.200079,,,
,1120,154962,cells,793411,contacts,7.293181,hour(s),or,437.590885,minute(s),or,26255.453125,second(s)
,1120,155120,cells,773715,cts,15,iterations,residual,=,3.747321,,,
,1120,155120,cells,789259,cts,9,iterations,residual,=,3.45128,,,
,1120,155120,cells,791609,cts,7,iterations,residual,=,3.227075,,,
,1120,155120,cells,792659,cts,6,iterations,residual,=,3.658092,,,
,1120,155120,cells,793291,cts,6,iterations,residual,=,3.405916,,,
,1120,155120,cells,793712,cts,6,iterations,residual,=,3.441236,,,
,1120,155120,cells,793973,cts,6,iterations,residual,=,3.341802,,,
,1130,156614,cells,801738,contacts,7.506845,hour(s),or,450.41071,minute(s),or,27024.642578,second(s)
,1130,156768,cells,781972,cts,15,iterations,residual,=,3.853704,,,
,1130,156768,cells,797733,cts,9,iterations,residual,=,3.418823,,,
,1130,156768,cells,800052,cts,7,iterations,residual,=,3.416359,,,
,1130,156768,cells,801098,cts,6,iterations,residual,=,3.69814,,,
,1130,156768,cells,801786,cts,6,iterations,residual,=,3.509713,,,
,1130,156768,cells,802199,cts,6,iterations,residual,=,3.546501,,,
,1130,156768,cells,802456,cts,6,iterations,residual,=,3.355734,,,
,1140,158259,cells,810415,contacts,7.657877,hour(s),or,459.472591,minute(s),or,27568.355469,second(s)
,1140,158424,cells,790300,cts,15,iterations,residual,=,3.613064,,,
,1140,158424,cells,806156,cts,9,iterations,residual,=,3.311429,,,
,1140,158424,cells,808503,cts,7,iterations,residual,=,3.406853,,,
,1140,158424,cells,809588,cts,7,iterations,residual,=,3.093792,,,
,1140,158424,cells,810229,cts,6,iterations,residual,=,3.921836,,,
,1140,158424,cells,810692,cts,6,iterations,residual,=,3.741599,,,
,1140,158424,cells,810961,cts,6,iterations,residual,=,3.472717,,,
,1150,159834,cells,818815,contacts,7.890834,hour(s),or,473.450033,minute(s),or,28407.001953,second(s)
,1150,159999,cells,798369,cts,15,iterations,residual,=,3.475322,,,
,1150,159999,cells,814529,cts,9,iterations,residual,=,3.201753,,,
,1150,159999,cells,816962,cts,7,iterations,residual,=,3.222548,,,
,1150,159999,cells,818027,cts,6,iterations,residual,=,3.973396,,,
,1150,159999,cells,818686,cts,6,iterations,residual,=,3.762517,,,
,1150,159999,cells,819089,cts,6,iterations,residual,=,3.852556,,,
,1150,159999,cells,819386,cts,6,iterations,residual,=,3.606587,,,
,1160,161495,cells,827404,contacts,8.135966,hour(s),or,488.157975,minute(s),or,29289.478516,second(s)
,1160,161653,cells,806968,cts,16,iterations,residual,=,2.914684,,,
,1160,161653,cells,823113,cts,9,iterations,residual,=,3.252996,,,
,1160,161653,cells,825519,cts,7,iterations,residual,=,3.33343,,,
,1160,161653,cells,826614,cts,7,iterations,residual,=,2.980254,,,
,1160,161653,cells,827314,cts,6,iterations,residual,=,3.871245,,,
,1160,161653,cells,827766,cts,6,iterations,residual,=,3.519936,,,
,1160,161653,cells,828029,cts,6,iterations,residual,=,3.719151,,,
,1170,163113,cells,835891,contacts,8.36923,hour(s),or,502.153776,minute(s),or,30129.226562,second(s)
,1170,163266,cells,815339,cts,15,iterations,residual,=,3.975034,,,
,1170,163266,cells,831592,cts,9,iterations,residual,=,3.59093,,,
,1170,163266,cells,834016,cts,7,iterations,residual,=,3.494729,,,
,1170,163266,cells,835177,cts,6,iterations,residual,=,3.830177,,,
,1170,163266,cells,835882,cts,6,iterations,residual,=,3.71176,,,
,1170,163266,cells,836338,cts,6,iterations,residual,=,3.646939,,,
,1170,163266,cells,836620,cts,6,iterations,residual,=,3.543497,,,
,1180,164723,cells,844524,contacts,8.563371,hour(s),or,513.802246,minute(s),or,30828.134766,second(s)
,1180,164891,cells,823624,cts,16,iterations,residual,=,3.072617,,,
,1180,164891,cells,839991,cts,9,iterations,residual,=,3.411566,,,
,1180,164891,cells,842435,cts,7,iterations,residual,=,3.483093,,,
,1180,164891,cells,843593,cts,7,iterations,residual,=,3.172873,,,
,1180,164891,cells,844321,cts,6,iterations,residual,=,4.006767,,,
,1180,164891,cells,844791,cts,6,iterations,residual,=,3.617997,,,
,1180,164891,cells,845040,cts,6,iterations,residual,=,3.630194,,,
,1190,166313,cells,852659,contacts,8.767447,hour(s),or,526.046842,minute(s),or,31562.810547,second(s)
,1190,166484,cells,831362,cts,15,iterations,residual,=,3.796389,,,
,1190,166484,cells,848053,cts,9,iterations,residual,=,3.639775,,,
,1190,166484,cells,850587,cts,7,iterations,residual,=,3.670499,,,
,1190,166484,cells,851710,cts,7,iterations,residual,=,3.160086,,,
,1190,166484,cells,852424,cts,6,iterations,residual,=,4.057837,,,
,1190,166484,cells,852892,cts,6,iterations,residual,=,3.483418,,,
,1190,166484,cells,853208,cts,6,iterations,residual,=,3.530192,,,
,1200,167976,cells,861060,contacts,8.948822,hour(s),or,536.929329,minute(s),or,32215.759766,second(s)
,1200,168145,cells,839568,cts,15,iterations,residual,=,3.651556,,,
,1200,168145,cells,856557,cts,9,iterations,residual,=,3.408949,,,
,1200,168145,cells,859067,cts,7,iterations,residual,=,3.467455,,,
,1200,168145,cells,860206,cts,6,iterations,residual,=,4.188362,,,
,1200,168145,cells,860882,cts,6,iterations,residual,=,3.607643,,,
,1200,168145,cells,861323,cts,6,iterations,residual,=,3.710241,,,
,1200,168145,cells,861597,cts,6,iterations,residual,=,3.515706,,,
,1210,169609,cells,869647,contacts,9.148431,hour(s),or,548.905859,minute(s),or,32934.351562,second(s)
,1210,169771,cells,848095,cts,16,iterations,residual,=,3.044639,,,
,1210,169771,cells,864976,cts,9,iterations,residual,=,3.549844,,,
,1210,169771,cells,867494,cts,7,iterations,residual,=,3.554005,,,
,1210,169771,cells,868652,cts,7,iterations,residual,=,3.200469,,,
,1210,169771,cells,869370,cts,6,iterations,residual,=,3.794443,,,
,1210,169771,cells,869839,cts,6,iterations,residual,=,3.518663,,,
,1210,169771,cells,870124,cts,6,iterations,residual,=,3.501592,,,
,1220,171250,cells,878348,contacts,9.393984,hour(s),or,563.639063,minute(s),or,33818.34375,second(s)
,1220,171427,cells,856522,cts,15,iterations,residual,=,3.623814,,,
,1220,171427,cells,873786,cts,9,iterations,residual,=,3.560233,,,
,1220,171427,cells,876349,cts,7,iterations,residual,=,3.650655,,,
,1220,171427,cells,877548,cts,6,iterations,residual,=,4.097936,,,
,1220,171427,cells,878280,cts,6,iterations,residual,=,4.031374,,,
,1220,171427,cells,878745,cts,6,iterations,residual,=,3.83611,,,
,1220,171427,cells,879039,cts,6,iterations,residual,=,3.778197,,,
,1230,172904,cells,887030,contacts,9.66988,hour(s),or,580.192839,minute(s),or,34811.570312,second(s)
,1230,173057,cells,864922,cts,15,iterations,residual,=,4.098619,,,
,1230,173057,cells,882333,cts,9,iterations,residual,=,3.761831,,,
,1230,173057,cells,884994,cts,7,iterations,residual,=,3.747574,,,
,1230,173057,cells,886206,cts,6,iterations,residual,=,4.325593,,,
,1230,173057,cells,886935,cts,6,iterations,residual,=,4.133947,,,
,1230,173057,cells,887400,cts,6,iterations,residual,=,4.086911,,,
,1230,173057,cells,887695,cts,6,iterations,residual,=,3.977248,,,
,1240,174515,cells,895594,contacts,9.856346,hour(s),or,591.380729,minute(s),or,35482.84375,second(s)
,1240,174673,cells,873415,cts,15,iterations,residual,=,4.342621,,,
,1240,174673,cells,890922,cts,9,iterations,residual,=,3.653992,,,
,1240,174673,cells,893504,cts,7,iterations,residual,=,3.746355,,,
,1240,174673,cells,894715,cts,6,iterations,residual,=,4.248226,,,
,1240,174673,cells,895424,cts,6,iterations,residual,=,3.875598,,,
,1240,174673,cells,895902,cts,6,iterations,residual,=,3.768794,,,
,1240,174673,cells,896224,cts,6,iterations,residual,=,3.840397,,,
,1250,176164,cells,904237,contacts,10.091529,hour(s),or,605.491732,minute(s),or,36329.503906,second(s)
,1250,176333,cells,881957,cts,15,iterations,residual,=,4.235996,,,
,1250,176333,cells,899540,cts,9,iterations,residual,=,3.829317,,,
,1250,176333,cells,902129,cts,7,iterations,residual,=,3.881974,,,
,1250,176333,cells,903335,cts,6,iterations,residual,=,4.236578,,,
,1250,176333,cells,904082,cts,6,iterations,residual,=,4.090323,,,
,1250,176333,cells,904549,cts,6,iterations,residual,=,3.834479,,,
,1250,176333,cells,904826,cts,6,iterations,residual,=,3.896752,,,
,1260,177799,cells,912818,contacts,10.384506,hour(s),or,623.070378,minute(s),or,37384.222656,second(s)
,1260,177979,cells,890440,cts,15,iterations,residual,=,4.144244,,,
,1260,177979,cells,908090,cts,9,iterations,residual,=,3.945405,,,
,1260,177979,cells,910716,cts,7,iterations,residual,=,3.971817,,,
,1260,177979,cells,911951,cts,7,iterations,residual,=,3.597014,,,
,1260,177979,cells,912752,cts,6,iterations,residual,=,4.134408,,,
,1260,177979,cells,913214,cts,6,iterations,residual,=,3.934782,,,
,1260,177979,cells,913527,cts,6,iterations,residual,=,4.145029,,,
,1270,179465,cells,921754,contacts,10.680134,hour(s),or,640.808073,minute(s),or,38448.484375,second(s)
,1270,179606,cells,899246,cts,15,iterations,residual,=,4.175854,,,
,1270,179606,cells,917017,cts,9,iterations,residual,=,4.024564,,,
,1270,179606,cells,919683,cts,7,iterations,residual,=,3.841232,,,
,1270,179606,cells,920937,cts,7,iterations,residual,=,3.528584,,,
,1270,179606,cells,921672,cts,6,iterations,residual,=,4.264828,,,
,1270,179606,cells,922171,cts,6,iterations,residual,=,3.970957,,,
,1270,179606,cells,922447,cts,6,iterations,residual,=,3.978972,,,
,1280,181050,cells,930292,contacts,10.885762,hour(s),or,653.145703,minute(s),or,39188.742188,second(s)
,1280,181213,cells,907561,cts,15,iterations,residual,=,3.994942,,,
,1280,181213,cells,925374,cts,9,iterations,residual,=,3.93859,,,
,1280,181213,cells,928167,cts,7,iterations,residual,=,3.950884,,,
,1280,181213,cells,929440,cts,6,iterations,residual,=,4.320575,,,
,1280,181213,cells,930218,cts,6,iterations,residual,=,4.033697,,,
,1280,181213,cells,930728,cts,6,iterations,residual,=,4.001686,,,
,1280,181213,cells,931018,cts,6,iterations,residual,=,3.916546,,,
,1290,182720,cells,939076,contacts,11.152373,hour(s),or,669.142383,minute(s),or,40148.542969,second(s)
,1290,182892,cells,916029,cts,15,iterations,residual,=,4.232973,,,
,1290,182892,cells,934218,cts,9,iterations,residual,=,4.090104,,,
,1290,182892,cells,936971,cts,7,iterations,residual,=,4.379247,,,
,1290,182892,cells,938222,cts,7,iterations,residual,=,3.672163,,,
,1290,182892,cells,938952,cts,7,iterations,residual,=,3.480299,,,
,1290,182892,cells,939502,cts,6,iterations,residual,=,4.025024,,,
,1290,182892,cells,939817,cts,6,iterations,residual,=,3.895724,,,
,1300,184352,cells,947446,contacts,11.404501,hour(s),or,684.270052,minute(s),or,41056.203125,second(s)
,1300,184504,cells,924250,cts,15,iterations,residual,=,4.327593,,,
,1300,184504,cells,942580,cts,9,iterations,residual,=,4.061886,,,
,1300,184504,cells,945304,cts,7,iterations,residual,=,3.897858,,,
,1300,184504,cells,946538,cts,7,iterations,residual,=,3.393417,,,
,1300,184504,cells,947321,cts,6,iterations,residual,=,4.159415,,,
,1300,184504,cells,947866,cts,6,iterations,residual,=,3.973146,,,
,1300,184504,cells,948189,cts,6,iterations,residual,=,4.015815,,,
,1310,185996,cells,955994,contacts,11.710108,hour(s),or,702.60651,minute(s),or,42156.390625,second(s)
,1310,186160,cells,932548,cts,15,iterations,residual,=,4.114931,,,
,1310,186160,cells,950893,cts,9,iterations,residual,=,3.846527,,,
,1310,186160,cells,953767,cts,7,iterations,residual,=,3.934789,,,
,1310,186160,cells,955079,cts,7,iterations,residual,=,3.613246,,,
,1310,186160,cells,955826,cts,6,iterations,residual,=,4.265284,,,
,1310,186160,cells,956334,cts,6,iterations,residual,=,4.005701,,,
,1310,186160,cells,956649,cts,6,iterations,residual,=,3.980578,,,
,1320,187646,cells,964437,contacts,11.952385,hour(s),or,717.143099,minute(s),or,43028.585938,second(s)
,1320,187795,cells,940953,cts,15,iterations,residual,=,3.78663,,,
,1320,187795,cells,959400,cts,9,iterations,residual,=,3.847171,,,
,1320,187795,cells,962193,cts,7,iterations,residual,=,3.847281,,,
,1320,187795,cells,963440,cts,6,iterations,residual,=,4.513271,,,
,1320,187795,cells,964258,cts,6,iterations,residual,=,4.317634,,,
,1320,187795,cells,964745,cts,6,iterations,residual,=,4.228816,,,
,1320,187795,cells,965038,cts,6,iterations,residual,=,4.118091,,,
,1330,189267,cells,972956,contacts,12.157826,hour(s),or,729.469531,minute(s),or,43768.171875,second(s)
,1330,189432,cells,949050,cts,15,iterations,residual,=,4.118295,,,
,1330,189432,cells,967899,cts,9,iterations,residual,=,4.229409,,,
,1330,189432,cells,970710,cts,7,iterations,residual,=,4.167412,,,
,1330,189432,cells,972009,cts,6,iterations,residual,=,4.691224,,,
,1330,189432,cells,972810,cts,6,iterations,residual,=,4.582597,,,
,1330,189432,cells,973334,cts,6,iterations,residual,=,4.502582,,,
,1330,189432,cells,973644,cts,6,iterations,residual,=,4.365008,,,
,1340,190913,cells,981685,contacts,12.5377,hour(s),or,752.262044,minute(s),or,45135.722656,second(s)
,1340,191065,cells,957885,cts,15,iterations,residual,=,4.163052,,,
,1340,191065,cells,976543,cts,9,iterations,residual,=,4.059662,,,
,1340,191065,cells,979367,cts,7,iterations,residual,=,3.898906,,,
,1340,191065,cells,980676,cts,6,iterations,residual,=,4.622608,,,
,1340,191065,cells,981434,cts,6,iterations,residual,=,4.186608,,,
,1340,191065,cells,981949,cts,6,iterations,residual,=,4.045866,,,
,1340,191065,cells,982281,cts,6,iterations,residual,=,4.056563,,,
,1350,192575,cells,990345,contacts,12.785868,hour(s),or,767.152083,minute(s),or,46029.125,second(s)
,1350,192744,cells,966018,cts,16,iterations,residual,=,3.522612,,,
,1350,192744,cells,985043,cts,9,iterations,residual,=,4.003756,,,
,1350,192744,cells,987845,cts,7,iterations,residual,=,4.070057,,,
,1350,192744,cells,989182,cts,6,iterations,residual,=,4.661737,,,
,1350,192744,cells,989953,cts,6,iterations,residual,=,4.286,,,
,1350,192744,cells,990450,cts,6,iterations,residual,=,4.253747,,,
,1350,192744,cells,990791,cts,6,iterations,residual,=,4.203531,,,
,1360,194243,cells,999043,contacts,13.027505,hour(s),or,781.650326,minute(s),or,46899.019531,second(s)
,1360,194412,cells,974942,cts,15,iterations,residual,=,4.252709,,,
,1360,194412,cells,993903,cts,9,iterations,residual,=,4.028458,,,
,1360,194412,cells,996783,cts,7,iterations,residual,=,4.131063,,,
,1360,194412,cells,998124,cts,7,iterations,residual,=,3.815675,,,
,1360,194412,cells,998908,cts,6,iterations,residual,=,4.441482,,,
,1360,194412,cells,999434,cts,6,iterations,residual,=,4.082473,,,
,1360,194412,cells,999746,cts,6,iterations,residual,=,4.26238,,,
,1370,195925,cells,1007937,contacts,13.296147,hour(s),or,797.768815,minute(s),or,47866.128906,second(s)
,1370,196109,cells,983253,cts,15,iterations,residual,=,4.39514,,,
,1370,196109,cells,1002639,cts,9,iterations,residual,=,4.428664,,,
,1370,196109,cells,1005590,cts,7,iterations,residual,=,4.314651,,,
,1370,196109,cells,1006952,cts,7,iterations,residual,=,4.123035,,,
,1370,196109,cells,1007739,cts,7,iterations,residual,=,3.619078,,,
,1370,196109,cells,1008250,cts,6,iterations,residual,=,4.069757,,,
,1370,196109,cells,1008602,cts,6,iterations,residual,=,4.625522,,,
,1380,197572,cells,1016691,contacts,13.531087,hour(s),or,811.865234,minute(s),or,48711.914062,second(s)
,1380,197746,cells,991949,cts,16,iterations,residual,=,3.5524,,,
,1380,197746,cells,1011300,cts,9,iterations,residual,=,4.108453,,,
,1380,197746,cells,1014251,cts,7,iterations,residual,=,4.557755,,,
,1380,197746,cells,1015643,cts,7,iterations,residual,=,4.003271,,,
,1380,197746,cells,1016413,cts,7,iterations,residual,=,3.70085,,,
,1380,197746,cells,1016915,cts,6,iterations,residual,=,4.672098,,,
