iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,180,2082,cells,7026,cts,3,iterations,residual,=,0.042546,,,
,180,2082,cells,7035,cts,3,iterations,residual,=,0.037376,,,
,190,2524,cells,8742,contacts,0.016043,hour(s),or,0.962566,minute(s),or,57.753967,second(s)
,190,2581,cells,8196,cts,12,iterations,residual,=,0.043228,,,
,190,2581,cells,8717,cts,7,iterations,residual,=,0.048798,,,
,190,2581,cells,8790,cts,5,iterations,residual,=,0.050191,,,
,190,2581,cells,8819,cts,4,iterations,residual,=,0.060248,,,
,190,2581,cells,8838,cts,4,iterations,residual,=,0.040041,,,
,190,2581,cells,8850,cts,3,iterations,residual,=,0.055904,,,
,190,2581,cells,8864,cts,3,iterations,residual,=,0.056384,,,
,200,3061,cells,10811,contacts,0.018093,hour(s),or,1.085605,minute(s),or,65.136299,second(s)
,200,3125,cells,10252,cts,12,iterations,residual,=,0.056175,,,
,200,3125,cells,10903,cts,7,iterations,residual,=,0.070117,,,
,200,3125,cells,11004,cts,5,iterations,residual,=,0.063742,,,
,200,3125,cells,11044,cts,5,iterations,residual,=,0.065139,,,
,200,3125,cells,11068,cts,4,iterations,residual,=,0.058133,,,
,200,3125,cells,11078,cts,3,iterations,residual,=,0.055,,,
,200,3125,cells,11090,cts,3,iterations,residual,=,0.062567,,,
,210,3712,cells,13257,contacts,0.020553,hour(s),or,1.233178,minute(s),or,73.990707,second(s)
,210,3772,cells,12540,cts,12,iterations,residual,=,0.080921,,,
,210,3772,cells,13294,cts,7,iterations,residual,=,0.088005,,,
,210,3772,cells,13404,cts,6,iterations,residual,=,0.061776,,,
,210,3772,cells,13437,cts,4,iterations,residual,=,0.088877,,,
,210,3772,cells,13464,cts,4,iterations,residual,=,0.075392,,,
,210,3772,cells,13487,cts,4,iterations,residual,=,0.06293,,,
,210,3772,cells,13508,cts,3,iterations,residual,=,0.081082,,,
,220,4453,cells,16248,contacts,0.023411,hour(s),or,1.404658,minute(s),or,84.279472,second(s)
,220,4533,cells,15454,cts,12,iterations,residual,=,0.110017,,,
,220,4533,cells,16296,cts,8,iterations,residual,=,0.088386,,,
,220,4533,cells,16435,cts,6,iterations,residual,=,0.0886,,,
,220,4533,cells,16488,cts,5,iterations,residual,=,0.10278,,,
,220,4533,cells,16515,cts,4,iterations,residual,=,0.091955,,,
,220,4533,cells,16536,cts,4,iterations,residual,=,0.105209,,,
,220,4533,cells,16550,cts,4,iterations,residual,=,0.082656,,,
,230,5330,cells,19764,contacts,0.026789,hour(s),or,1.607323,minute(s),or,96.439407,second(s)
,230,5420,cells,18815,cts,12,iterations,residual,=,0.122008,,,
,230,5420,cells,19808,cts,7,iterations,residual,=,0.131393,,,
,230,5420,cells,19956,cts,5,iterations,residual,=,0.133819,,,
,230,5420,cells,20024,cts,5,iterations,residual,=,0.119633,,,
,230,5420,cells,20065,cts,4,iterations,residual,=,0.118366,,,
,230,5420,cells,20087,cts,4,iterations,residual,=,0.095441,,,
