790,288327,cells,1894242,contacts,16.37047,hour(s),or,982.22819,minute(s),or,58933.691406,second(s),,5.4598853132
800,292312,cells,1920761,contacts,16.970633,hour(s),or,1018.237956,minute(s),or,61094.277344,second(s),,5.4658466444
810,296399,cells,1947360,contacts,17.480198,hour(s),or,1048.811914,minute(s),or,62928.714844,second(s),,5.4718767341
820,300430,cells,1974227,contacts,18.076713,hour(s),or,1084.602799,minute(s),or,65076.167969,second(s),,5.4777432978
830,304432,cells,2000650,contacts,18.702094,hour(s),or,1122.125651,minute(s),or,67327.539062,second(s),,5.4834903008
840,308391,cells,2027065,contacts,19.459444,hour(s),or,1167.566667,minute(s),or,70054,second(s),,5.4891016952
850,312410,cells,2054060,contacts,20.206529,hour(s),or,1212.391667,minute(s),or,72743.5,second(s),,5.4947249269
860,316381,cells,2080347,contacts,20.785883,hour(s),or,1247.152995,minute(s),or,74829.179688,second(s),,5.5002103944
870,320366,cells,2106460,contacts,21.629266,hour(s),or,1297.75599,minute(s),or,77865.359375,second(s),,5.5056464188
880,324307,cells,2132615,contacts,22.191425,hour(s),or,1331.485417,minute(s),or,79889.125,second(s),,5.5109563228
890,328352,cells,2159247,contacts,23.276355,hour(s),or,1396.58125,minute(s),or,83794.875,second(s),,5.5163396659
900,332264,cells,2185381,contacts,24.189539,hour(s),or,1451.372266,minute(s),or,87082.335938,second(s),,5.5214832891
910,336312,cells,2211620,contacts,25.44752,hour(s),or,1526.851172,minute(s),or,91611.070312,second(s),,5.5267423637
